Date,Open,High,Low,Close,Volume
2021-02-28,932.7081388605912,975.7840397521635,904.5726539395146,945.7669677734375,234034832380433525644108108076633485569337481215
2021-03-31,956.8306484903325,992.9918242849485,894.9373462222738,908.26806640625,176807641715076031924461214357542551166619506841151544841151935816864952166980991387380119210236206474804178742918572478174211651682281422001648201802022044170116250796
2021-04-30,915.0243493680184,928.128402781999,850.9544197704057,904.3685913085938,11723312148750991400919424266353153691881403788520901482194111891972371615656948184788081720366814490954118288572084677819992524171224371741260619828769
2021-05-31,891.4458771331132,993.7852821100847,864.2399737584975,979.5475463867188,23640186218498301239360914624666122885481394123713478264131779611329161611873078120649181631700211422532107856058551760147801027480204268192945646993159124142
2021-06-30,982.1321030027278,998.4556475299046,1001.0947014517697,960.37109375,2801383224630162239742571446864616336573967473511409161141556531376277820332436151742151079734915745975293690261218644812871913166539519146197555355022202770422714406319762858
2021-07-31,963.7154392931002,979.8911687487861,917.4179602018662,926.0859985351562,12534407140866201170228710070124104548921118546090376758585292671713385325449448356882818583544496741464797239799370301238966810824523128978481376573811350608
2021-08-31,934.7312372274596,997.3863978639248,1003.3014677332652,1027.4854736328125,1092510411817299131698002125207816620987749414311919198918496381376121278090121935444126581691007586094262829854395118644721338055918589616104806361402706226485463
2021-09-30,1034.2424832806043,1169.38083570803,1026.052128476792,1146.2889404296875,111454869956770306644283364171017349882143016518963249163111608908356907107513448882348821331177981999157361099591215748397151921631537383418035258971987513590654
2021-10-31,1138.4173546931033,1251.8972908980181,1135.2550471541776,1154.0244140625,8958928109185521353363410258881633666515772493147686666682011995976286234691359447988334091271057020831669110274751719841797501789896298988618114233025
2021-11-30,1154.0243384080532,1184.03237124433,1050.6227346718351,1094.4859619140625,154811141056913011989430170565620337183156824971025347010722478871234148032691133758110202029850562524124307253269991682029642401936157631382432535432172299
2021-12-31,1107.044315866843,1136.8474535768446,1022.4573675126571,1077.53662109375,1010461012720411192224811033225411235122874417813213547836441412901733129915239366969976127921049821143258461283656117658543907240178864944017223637461315425312293331719477290
2022-01-31,1076.1034905748938,1168.1522095010407,1048.802657948011,1085.9317626953125,54216111084772811643813144474221311211592467311620516414800442118567121993017680364536215029975548516494486133385942186893724510205200204311466772712143683
2022-02-28,1095.6690383601324,1117.6915612787002,1020.5919703644313,1073.62353515625,1320050910017691957283911061241107144671206084911486225124644911594337010719633112126711039284012853252677545811107193134949147310110248466501457008921297446
2022-03-31,1062.2027357830907,1223.0724028520565,1011.0367738665514,1198.8428955078125,214717861018674810805667179833102128937420414228179804931225742383406781592576911149828214220981199946622557065154621871316826614222488989142486840651581155013223718
2022-04-30,1199.4116203413212,1299.5828338743643,1147.4493300930017,1269.5975341796875,7922880792916213149870122572151549649915152495925420913217742103542359974224261418202507224021708633150541541706321512227666193389452561407618214862
2022-05-31,1256.7432351242765,1276.5362108883514,1078.3786071325271,1197.887451171875,94670061924766017210669196499481808375219511677166438992049032119308778134379111655182817276788146991182179309115252755135278181271454417882023165219731385339870620653
2022-06-30,1198.638243225424,1281.9281427980586,1112.5043100555831,1181.052001953125,9776989221265692393979111093152123582551247925017278305180930571762080314714312111955351711147524457187120667971172004910617206194463231424023415474529135728471920514623112959
2022-07-31,1171.610445710058,1179.3911062938287,1076.103462886294,1141.829833984375,8199714941857728176473272394372623301033190101081384746710778989142241321697031596032101516090816439888239242461652323010969995231104521130328886550861249607315130683
2022-08-31,1146.2435722402156,1218.8459658923068,1140.9881839019702,1204.2152099609375,15700044139179131425097714467127139424381016517810724688819822612650587660737865959657410035946072494716809678484103696227871946107420381983897523139054
2022-09-30,1178.9710757031155,1200.4491194045427,1054.96372509037,1085.4349365234375,1990993912999345113278151089961874885017057077831485074354198888657867821910365600202177087580254841144892073091030817095280511247952316154822169970591467182718613024
2022-10-31,1091.7117072217247,1169.065039404331,1069.6171531804475,1163.8837890625,1185272389488501335216277143406329527921517774171037328492910608916729355124158201924714287170538243452337003312233241125130591760959212419943
2022-11-30,1186.8912136799254,1253.288707028199,1142.1545139312134,1246.85205078125,13963166898189666934491257581511789748112542055966242123101329043112708643397161616661451530319763902686611488641340893894397349922315274841105891326164986
2022-12-31,1251.6224067137045,1257.6481612150444,1137.703712598857,1162.7880859375,948580111589592148285368594245846211177570081265576394798428333348726894786885511583734977299337467588852755074511221025711559902425763271745939369306487289476
2023-01-31,1164.066351583663,1189.6302560157692,1050.3987961919847,1074.5245361328125,5316175765893292648911363709963495971072275380471421150955317688773206185831362385510751000134482861194005414930286109541181648875512385018258309752177210322691594
2023-02-28,1086.439272024598,1124.7163944448255,1046.7466710224398,1060.2362060546875,1934780013662663246995751483787915135435211603321317276310790445103524931432192033503591172644871180952088369371331159211024335985191094340531119971521994038
2023-03-31,1070.0280642112666,1106.8216933590497,1003.3796050761481,1064.116455078125,11551145933353514643807101719161578265716235128133340911277159216027522217285551836315934014213195245892140036010920094162493701237594514054323125764241880406528171201
2023-04-30,1070.4846960590223,1106.9814803229494,1053.8453439607506,1104.949951171875,10293043162629281843504612961408105423671817908712378208179294791040557612273475700733076473171293618692361268617834916712515565210
2023-05-31,1112.1170391794083,1158.451475420254,1101.549066588438,1127.5009765625,1298180570618728635233874658591537826464721108722551055786069553416833343871722987989671052553180504477434906609203481122541148786312626260100103041134250427107927
2023-06-30,1132.1800927726736,1179.5874324568545,1118.8731857024297,1164.1805419921875,145926921580064410908682749330910312545120711095877018639196911248016132773801181349424171579679855469210966961603761916666285701264115996894661135400611151555
2023-07-31,1167.7413136446191,1303.7543992835303,1166.5087289327182,1260.8065185546875,1215438780616431024806219117987133752673324001620069348187338351468293415124144222200402586731339122156387176243024923823727866120260201291101217226898208278528551174
2023-08-31,1263.6503718598296,1277.3996937112483,1191.133870437995,1194.6578369140625,9536632127482141016835022885610598287098440721148658615470598221793309575812102031121367374418639978922174677130449517952141400202222240012580826168766441216894621638600
