Date,Open,High,Low,Close,Volume
2021-02-28,1140.983163556862,1151.9433489200894,1095.7787599856006,1103.3055419921875,5389696737130366129424537258878822115132388
2021-03-31,1112.1088242428739,1237.7303276282514,1108.3234034706122,1204.3221435546875,57562861046143490563991204194164861765119392651817379259849462061665863593527717626744109617551276711248627587165335613430387499944922071105463818220987
2021-04-30,1214.8421766163256,1300.717334887364,1162.0228210258588,1192.2615966796875,567515594795725793571587923456544346052712203845321485520625342491108798781250802885607666622446731626270886063636115487923454123578354677
2021-05-31,1180.333578593025,1247.0823823745798,1154.364147358403,1240.186279296875,456033748870603939788481009049914357195348642098852418984824609501712956201504435878449009249697334225371409934068500241536539142613124429904
2021-06-30,1245.747646371303,1415.7031930096216,1214.6040597487086,1406.6270751953125,479132592722765115645419432851545767360630539431734965756140828713229454031047661710767795113533974545405264278625529809107851379780240501917859135676058722
2021-07-31,1403.1123459447122,1444.5333838399172,1364.7613001298819,1433.0546875,4814317516606440583384089574479712033268133436594458898244561605657716100213556265593566916250699397854575417971945867105892859468678846608736234257
2021-08-31,1448.13717442387,1563.4134691115678,1440.7961611531427,1518.4329833984375,5553389551366867403915420536375485550184776846517489963956595795612790456410995103906686090620697261890517602939615325353022486698514655966712255438
2021-09-30,1521.1471684853343,1590.9978373584784,1472.6515799855038,1490.6260986328125,780197468300505339139487602635203414584896333167446623744945167406234432465687454864566074346722224553892382609082804465045337655719777925486914031
2021-10-31,1481.6388151745116,1644.3868947949425,1478.2130309277777,1497.1488037109375,57339062947154437331042716985476108473837688406337439300710417119655776134381091032426058761158779629736980959052095871709509025953299725875091
2021-11-30,1505.901345498359,1623.904843607028,1498.4053274363978,1537.4556884765625,36368063471772353071348340752459034016134478036847313495069009435407460342334732492432692466218398436160733306144762604494181394277614808963
2021-12-31,1539.5654566717308,1714.4383449364482,1518.4691677243022,1694.64404296875,519326455595746754012399144942021223029169208217118234694040584476814430531494481031188872435773891535358441564284112933378034726477333340933323663545847384619420
2022-01-31,1694.6441036073452,1754.0272038314308,1494.6801391976826,1558.5966796875,33296163921999699571964492054834389785756051422875362535142776307688506526246436903155747770553346382527587116712913765311231734109985028788872
2022-02-28,1585.4381259763172,1609.4070279547248,1494.6799951900482,1540.1038818359375,5119935425371738329224700077431020960534013867244433463075513717459637466991553506423937950560221551208908878515547881113592379973728115076542
2022-03-31,1535.0768409224868,1726.557585196572,1509.043360495801,1711.7901611328125,6771489734414790744999742588109845001019351565471824758657102897247140443523397917731459836208557093826192824378430334385884008555391778577958395399145
2022-04-30,1693.8360075883895,1714.8872723694526,1391.4438401538494,1407.19873046875,6171518736407454720245407453579754451314468248407645618462576933052396517044923106787477766514813424570005705345435881935692451779831395
2022-05-31,1392.2520561261197,1426.8134180541488,1256.114564327236,1364.0850830078125,70726276220959614487061714726832202621254578460807034979672376161453316516378659412616561140104889085887569569316796300921304006582848601090421316033857
2022-06-30,1372.613057886202,1410.715969239275,1240.2960551585052,1326.2545166015625,8738508720584093957076624883490459246976084361061651643669876856090247465195866417729692047459519462707876253366625428161143404511097441217850600389165177
2022-07-31,1319.0876283134799,1411.3508694220957,1279.7596672781783,1405.9075927734375,465163548002247379669520916233234723652582470263847103565264025615760656200185835171341854050793925008061702064278596267268273451728566368417009465
2022-08-31,1418.8808076559778,1479.981652880995,1315.4585359278797,1354.4234619140625,29832494374635601195574022095361971376340944238293462090356228630044304067324463570647398843950555555157428884264331088307913680790506725875
2022-09-30,1324.5762195682023,1408.9016188074963,1229.2734174239552,1282.2999267578125,81406045175653366935234284423600574406147548169105494819494715814332197127841002046404565952417219797791705491684981042620094145878561254702209861199658120130
2022-10-31,1280.9847375980942,1418.245811891941,1257.3971999369394,1410.220947265625,49431696631341618067239944665274677128247745481467482151414990688428639646920043553171458393935944859828373914341676013730539814542336
2022-11-30,1424.3448316381566,1516.4701360105687,1361.934227104186,1499.45751953125,4542692293890631740274509682489859233347553435763721409849088133497614449769734695153126064307176433993293245067528221545632553825766313171011868134
2022-12-31,1518.946413503393,1533.9873258325365,1359.5955240977712,1383.2115478515625,5407928428334338249664822398489808742068378880658803767961350674976020644386696304536222740739625962363616302640628382241154594860076502986046247455060544
2023-01-31,1388.5307532282952,1438.7893911638814,1326.6247296502847,1406.64404296875,38011404551130705959098684046443714114987177158624617309265913851161042660730635922644584309861652846496429485502052008024158617620995569647199448126
2023-02-28,1414.3936968698845,1485.5169731711044,1358.5407812408764,1364.2728271484375,61941996916834704019445706124336238798333869049114786762400119950437363465747429028928577342417716272328836562444766854279098649202689679811
