Date,Open,High,Low,Close,Volume
2021-02-19,2688.217762764799,2713.842774296299,2651.4283004060762,2700.39306640625,3725028
2021-02-26,2721.6224072152963,2721.6224072152963,2531.741170621506,2544.31201171875,53666963832829377454942240735553153
2021-03-05,2572.178816772049,2708.8313445735425,2550.905200308886,2644.30712890625,32658713306469350985739167603203686
2021-03-12,2651.2965109231404,2740.0828771190104,2630.2862256983,2688.17333984375,2003125194239730537782938317
2021-03-19,2673.2731354133907,2773.4881833018144,2625.846826743809,2681.360595703125,30970834894756383839036563065776626
2021-03-26,2680.041650108707,2785.794702569668,2653.6253468525542,2695.953369140625,28216463305973220710431797863697370
2021-04-02,2710.194095407423,2826.2321642352886,2690.766409978978,2782.2783203125,469400835300694285076
2021-04-09,2787.5527106778604,2948.731883972365,2769.9711735559567,2920.513427734375,53178622291562249126825781182911129
2021-04-16,2920.5136164862206,2934.4470730375683,2701.44734620822,2808.78271484375,3791828865459660627603224657
2021-04-23,2785.794642666172,2835.330724965426,2717.2710621595616,2733.489990234375,2679106314189319889801615309
2021-04-30,2726.9408872803356,2775.5539060045367,2654.8123559697738,2668.56982421875,24902601471417163903716213953072305
2021-05-07,2659.1204047780075,2777.7511075730526,2640.74777805503,2754.059814453125,15458311990777193928917916711912540
2021-05-14,2765.5325046540484,2781.575661409017,2672.3945190889726,2682.50390625,2137153241562519785582043935
2021-05-21,2685.580002093259,2746.236928798247,2668.8775405417787,2707.99658203125,28904622098538198604123290271685566
2021-05-28,2708.8759765625,2842.4863984305903,2700.5247444426413,2776.98388671875,16522601841613192375359597851763701
2021-06-04,2782.637158557445,2800.613964245875,2751.719376244468,2777.11572265625,16527991377441224007812817061836060
2021-06-11,2778.2208596814926,2923.0943373291366,2768.150447443102,2891.99951171875,25598212574057171092518743243452954
2021-06-18,2896.5928156108116,2966.37947684618,2872.3442587686054,2912.758544921875,18473601304985163555222734133380431
2021-06-25,2884.2254206094335,3003.17252309465,2872.4764653489665,2986.52099609375,11305691708688146710441552042722861
2021-07-02,2995.9732923655597,2995.9732923655597,2910.9035806196966,2937.625732421875,1355238149732216931469903101682274
